id;order;family;genera;species;author;tax_ver;nature_BR;nativa_AF;Cnc_classification;floweringstart_month;floweringperiod_month;plantgrowth;flower_color_1;flower_color_2;flower_shape;odour;anthesis_time;corolla_length_mm;corolla_length_mm_sd;nectar_volume;nectar_volume_uL_SD;nectar_concentration_brix%;nectar_concentration_brix%_SD;observation_time_hour;n_input;;
93;Fabales;Fabaceae;Inga;sp. 3;Mill.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;NA;NA;h;p;n;NA;NA;NA;NA;NA;NA;25.0;1;;
94;Fabales;Fabaceae;Inga;sp. 4;Mill.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
95;Fabales;Fabaceae;Inga;sp. 5;Mill.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;w;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
96;Fabales;Fabaceae;Inga;sp. 6;Mill.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;w;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
97;Fabales;Fabaceae;Inga;striata;Benth.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;tr;NA;NA;h;NA;d;10.00;0.55;5.39;0.04;10.30;0.90;42.0;1;;
98;Fabales;Fabaceae;Inga;subnuda;Salzm. ex Benth.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;11;tr;w;NA;h;p;b;17.49;1.48;03.08;0.87;13.93;2.44;33.7;2;;
99;Fabales;Fabaceae;Inga;vera subsp. affinis;(D.C.) T.D.Penn.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;tr;NA;NA;h;NA;d;14.00;1.00;5.40;0.09;7.20;1.50;42.0;1;;
100;Fabales;Fabaceae;Mucuna;japira;A. M. G. Azevedo et al.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;5;2;l;y;NA;f;a;d;67.75;3.50;22.25;6.15;10.22;1.62;169.0;3;;
101;Fabales;Fabaceae;Mucuna;sloanei;Fawc. e Rendle;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;l;y;NA;f;NA;d;NA;NA;NA;NA;NA;NA;NA;1;;
102;Fabales;Fabaceae;Mucuna;urens;(L.) Medik.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;10;l;b;NA;f;p;n;36.87;1.20;67.49;29.23;16.44;1.00;158.0;4;;
103;Fabales;Fabaceae;Parkia;pendula;(Willd.) Benth. ex Walp.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;tr;NA;NA;h;p;NA;NA;NA;67.20;NA;14.95;5.10;22.0;2;;
104;Fabales;Fabaceae;Paubrasilia;echinata;(Lam.) Gagnon, H.C. Lima & G.P.Lewis;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;4;tr;y;NA;f;p;n;26.90;3.60;0.73;0.25;29.50;9.40;90.0;1;;
105;Fabales;Fabaceae;Phaseolus;sp.;L.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
106;Fabales;Fabaceae;Pueraria;phaseoloides;(Roxb.) Benth.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;exo;N;ne;5;6;l;r;NA;f;a;d;20.32;0.67;NA;NA;30.80;1.80;60.0;1;;
107;Fabales;Fabaceae;Schizolobium;parahyba;(Vell.) Blake;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;9;2;tr;y;NA;f;NA;NA;8.42;0.39;NA;NA;NA;NA;2.0;1;;
108;Fabales;Fabaceae;Sophora;tomentosa;L.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;9;b;y;NA;f;NA;d;NA;NA;NA;NA;21.11;8.38;78.0;2;;
109;Gentianales;Apocynaceae;Mandevilla;funiformis;(Vell.) K.Schum.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;l;y;NA;t;NA;NA;21.00;NA;NA;NA;33.80;NA;9.1;1;;
110;Gentianales;Apocynaceae;Mandevilla;guanabarica;Casar. ex M.F. Sales et al;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;l;y;NA;t;NA;NA;34.70;2.20;3.85;1.44;32.52;1.80;78.0;2;;
111;Gentianales;Gentianaceae;Chelonanthus;alatus;(Aubl.) Pulle;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;NA;12;h;w;b;t;p;n;28.60;3.72;21.30;6.70;13.00;1.10;NA;2;;
112;Gentianales;Rubiaceae;Hamelia;patens;Jacq.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;7;b;r;NA;t;NA;d;11.50;1.30;0.62;0.10;14.00;0.70;9.3;1;;
113;Gentianales;Rubiaceae;Hillia;illustris;(Vell.) K.Schum.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;8;t;y;NA;t;p;NA;63.70;4.29;37.22;8.81;13.06;1.76;8.0;4;;
114;Gentianales;Rubiaceae;Manettia;cordifolia;Mart.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;3;10;l;r;NA;t;a;d;45.43;2.77;1.67;0.58;18.08;2.80;92.2;6;;
115;Gentianales;Rubiaceae;Manettia;gracilis;Cham. & Schltdl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;3;5;l;r;NA;t;a;d;57.00;NA;NA;NA;NA;NA;36.0;4;;
116;Gentianales;Rubiaceae;Manettia;luteo-rubra;(Vell.) Benth.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;l;r;y;t;a;NA;20.93;0.80;0.35;0.15;24.00;2.11;29.0;5;;
117;Gentianales;Rubiaceae;Manettia;mitis;(Vell.) K.Schum.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;2;5;l;r;NA;t;a;d;27.96;2.17;01.06;NA;17.20;2.70;15.0;2;;
118;Gentianales;Rubiaceae;Manettia;paraguariensis;Chodat;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;l;r;NA;t;a;d;NA;NA;NA;NA;NA;NA;36.0;1;;
119;Gentianales;Rubiaceae;Manettia;pubescens;Cham. & Schltdl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;4;l;r;NA;t;NA;NA;42.90;1.20;6.55;2.82;25.20;1.00;8.4;1;;
120;Gentianales;Rubiaceae;Manettia;rojasiana;Cham. & Schltdl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;2;4;l;r;NA;t;a;d;21.90;4.91;0.8;0.4;19.50;2.00;19.2;1;;
121;Gentianales;Rubiaceae;Palicourea;crocea;(Sw.) Roem. & Schult.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;10;5;b;y;r;t;a;d;20.66;2.39;1.44;0.21;24.63;0.72;87.0;1;;
122;Gentianales;Rubiaceae;Palicourea;guianensis;Aubl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;t;y;NA;t;p;NA;9.60;NA;NA;NA;16.00;NA;18.0;1;;
123;Gentianales;Rubiaceae;Palicourea;longipedunculata;Gardner;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;3;7;b;y;r;t;a;NA;11.75;1.23;NA;NA;NA;NA;11.0;2;;
124;Gentianales;Rubiaceae;Palicourea;marcgravii;A.St-Hil.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;10;4;b;y;r;t;p;NA;22.70;NA;NA;NA;22.00;NA;41.0;3;;
125;Gentianales;Rubiaceae;Palicourea;rudgeoides;(Müll.Arg.) Standl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;3;b;y;NA;t;a;d;20.70;0.90;NA;NA;NA;NA;15.0;1;;
126;Gentianales;Rubiaceae;Psychotria;brachypoda;(Müll.Arg.) Britton;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;8;6;b;r;NA;t;NA;d;15.78;1.46;0.40;0.45;28.60;3.70;63.0;3;;
127;Gentianales;Rubiaceae;Psychotria;carthagenensis;Jacq.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;t;w;NA;b;p;d;NA;NA;NA;NA;NA;NA;2.0;1;;
128;Gentianales;Rubiaceae;Psychotria;leiocarpa;Cham. & Schltdl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;8;7;b;y;NA;t;NA;d;6.60;0.60;NA;NA;NA;NA;50.0;2;;
129;Gentianales;Rubiaceae;Psychotria;nuda;(Cham. & Schldl.) Wrawa;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;2;9;t;y;NA;t;a;d;24.25;3.37;2.35;1.12;18.3;5.18;190.0;15;;
130;Gentianales;Rubiaceae;Psychotria;pubigera;Schldl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;5;b;y;NA;t;NA;NA;11.90;1.30;01.05;0.17;25.50;2.00;1.0;1;;
131;Gentianales;Rubiaceae;Psychotria;ruelliifolia;(Cham. & Schltdl.) Mu?ll.Arg.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;NA;NA;b;w;r;t;a;d;NA;NA;NA;NA;NA;NA;NA;1;;
132;Gentianales;Rubiaceae;Psychotria;sp.;L.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;NA;NA;NA;w;NA;t;NA;NA;17.00;NA;NA;NA;NA;NA;NA;1;;
133;Gentianales;Rubiaceae;Psychotria;suterella;Müll.Arg.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;7;b;w;y;t;a;d;14.35;0.37;01.07;0.58;27.74;4.13;142.0;5;;
134;Gentianales;Rubiaceae;Randia;itatiaiae;Silva Neto & Avila;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;7;5;tr;w;NA;t;p;b;16.60;2.12;NA;NA;21.20;2.25;201.0;1;;
135;Gentianales;Rubiaceae;Rudgea;jasminoides subp. corniculata;(Benth.) Zappi;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;NA;NA;tr;t;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
136;Gentianales;Rubiaceae;Sabicea;cinerea;Aubl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;l;w;NA;t;NA;d;27.70;0.65;0.17;0.12;17.69;6.74;50.0;1;;
137;Gentianales;Rubiaceae;Sabicea;grisea;Cham. & Schltdl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;11;2;l;w;NA;t;NA;NA;14.44;1.86;1.39;0.62;21.55;2.54;30.0;1;;
138;Gentianales;Rubiaceae;Sabicea;villosa;Willd. ex Schult.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;11;5;l;w;NA;t;a;d;15.80;1.90;0.88;0.49;27.10;1.30;14.9;1;;
139;Lamiales;Acanthaceae;Aphelandra;colorata;(Vell.) Wassh.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;3;b;NA;NA;t;a;NA;33.89;1.40;NA;NA;22.50;NA;50.0;2;;
140;Lamiales;Acanthaceae;Aphelandra;longiflora;(Lindl.) Profice;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;3;6;b;r;y;t;a;d;33.32;2.59;01.08;0.59;18.62;2.80;58.9;4;;
141;Lamiales;Acanthaceae;Aphelandra;nitida;Nees & Mart.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;4;7;b;r;NA;t;a;b;33.54;4.44;NA;NA;13.50;1.29;60.0;1;;
142;Lamiales;Acanthaceae;Aphelandra;schottiana;(Nees) Profice;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;3;7;b;r;NA;t;a;d;32.00;2.70;NA;NA;NA;NA;15.2;3;;
143;Lamiales;Acanthaceae;Justicia;brasiliana;Roth;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;1;4;b;r;NA;t;NA;NA;46.80;5.50;0.29;0.51;24.09;1.84;27.0;1;;
144;Lamiales;Acanthaceae;Justicia;carnea;Lindl.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;11;b;r;NA;t;a;d;43.67;1.78;3.23;1.26;21.63;5.10;68.9;12;;
145;Lamiales;Acanthaceae;Justicia;floribunda;(C.Kosh) Wassh.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;3;3;b;r;NA;g;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;;
146;Lamiales;Acanthaceae;Justicia;parabolica;(Nees) Profice;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;4;3;b;r;NA;t;a;b;29.13;1.90;0.27;NA;15.83;NA;50.0;2;;
147;Lamiales;Acanthaceae;Justicia;ramulosa;(Morong) C.Ezcurra;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;vu;5;2;b;r;NA;t;a;d;8.50;2.12;0.43;0;16.00;4.20;0.8;1;;
148;Lamiales;Acanthaceae;Justicia;scheidweileri;V.A.W. Graham;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;3;11;h;r;NA;t;a;d;32.00;1.80;NA;NA;NA;NA;17.2;2;;
149;Lamiales;Acanthaceae;Justicia;sebastianopolitana;Profice;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;4;5;b;r;NA;t;a;d;29.15;2.00;0.48;NA;22.00;1.00;15.0;2;;
150;Lamiales;Acanthaceae;Justicia;sp. 1;L.;NA;NA;N;ne;NA;NA;NA;r;NA;t;NA;d;NA;NA;NA;NA;NA;NA;NA;1;;
151;Lamiales;Acanthaceae;Justicia;sp. 2;L.;NA;NA;N;ne;4;3;NA;r;NA;t;a;b;11.73;2.10;0.19;NA;14.04;NA;50.0;1;;
152;Lamiales;Acanthaceae;Lepidagathis;floribunda;(Pohl) Kameyama;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;2;3;b;r;NA;t;a;d;36.10;8.10;1.88;0.7;25.20;2.90;17.8;1;;
153;Lamiales;Acanthaceae;Mendoncia;sp.;Vell. ex Vand.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;11;4;NA;r;NA;t;a;d;32.40;0.80;NA;NA;NA;NA;15.0;1;;
154;Lamiales;Acanthaceae;Mendoncia;velloziana;Mart.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;8;9;l;r;NA;t;a;d;35.42;2.13;4.47;3.26;27.16;5.43;83.2;12;;
155;Lamiales;Acanthaceae;Odontonema;barlerioides;(Nees) Kuntze;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;2;6;b;r;NA;t;a;d;42.61;3.36;0.62;NA;17.40;2.50;15.0;2;;
156;Lamiales;Acanthaceae;Pachystachys;coccinea;(Aubl.) Nees;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;N;ne;9;2;b;r;NA;t;NA;NA;23.77;0.55;NA;NA;NA;NA;2.0;1;;
157;Lamiales;Acanthaceae;Pseuderanthemum;sp.;Radkl. ex Lindau;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;9;3;NA;w;NA;t;a;d;14.86;1.17;NA;NA;NA;NA;NA;1;;
158;Lamiales;Acanthaceae;Ruellia;affinis;(Schrad.) Lindau;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;1;12;b;r;NA;t;a;b;31.10;2.20;NA;NA;NA;NA;60.0;2;;
159;Lamiales;Acanthaceae;Ruellia;brevifolia;(Pohl) C.Ezcurra;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;b;r;NA;t;a;d;25.80;3.48;0.54;0.24;29.35;6.21;79.6;6;;
160;Lamiales;Acanthaceae;Ruellia;cearensis;Lindau;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;8;2;b;r;NA;t;NA;d;41.80;1.80;3.75;0.30;24.00;0.70;8.0;1;;
161;Lamiales;Acanthaceae;Ruellia;elegans;Poir.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;11;b;r;NA;t;NA;d;31.93;2.84;1.69;0.57;20.25;3.66;15.0;1;;
162;Lamiales;Acanthaceae;Ruellia;simplex;C. Wright;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;t;r;NA;t;a;d;48.20;4.76;2.16;NA;21.20;5.40;NA;1;;
163;Lamiales;Acanthaceae;Ruellia;subsessilis;(Nees) Lindau;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;1;12;b;r;NA;t;a;d;49.00;4.00;NA;NA;NA;NA;9.1;3;;
164;Lamiales;Acanthaceae;Sanchezia;nobilis;Hook.f.;The Plant List;exo;N;ne;1;12;b;y;NA;t;NA;d;47.32;2.21;3.33;0.76;21.25;2.55;15.0;2;;
165;Lamiales;Acanthaceae;Staurogyne;itatiaiae;(Wawra) Leonard;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;en;2;8;b;r;NA;t;a;d;17.21;1.00;0.08;NA;15.00;2.30;15.0;2;;
166;Lamiales;Acanthaceae;Stenostephanus;lobeliiformis;Nees;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;dd;6;3;b;r;NA;t;a;NA;18.00;NA;0.55;0.25;17.09;4.38;80.0;1;;
167;Lamiales;Acanthaceae;Thunbergia;grandiflora;(Roxb. ex Rottl.) Roxb.;The Plant List;exo;N;NA;4;5;l;r;NA;NA;NA;NA;39.04;04.02;NA;NA;NA;NA;NA;1;;
168;Lamiales;Bignoniaceae;Adenocalymma;comosum;(Cham.) DC.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;3;10;l;y;NA;t;a;NA;67.92;3.58;NA;NA;30.33;5.92;60.0;1;;
169;Lamiales;Bignoniaceae;Adenocalymma;sp.;Mart. ex Meisn, emend L.G.Lohmann;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;1;11;NA;y;NA;t;NA;NA;35.70;9.70;4.30;04.04;24.98;3.55;NA;1;;
170;Lamiales;Bignoniaceae;Fridericia;conjugata;(Vell.) L.G. Lohmann;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;12;4;l;r;NA;t;p;d;NA;NA;NA;NA;NA;NA;80.0;1;;
171;Lamiales;Bignoniaceae;Fridericia;sp.;Mart.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;NA;N;ne;2;1;NA;b;NA;g;NA;d;34.10;3.40;NA;NA;NA;NA;3.0;1;;
172;Lamiales;Bignoniaceae;Fridericia;speciosa;Mart.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;8;9;b;r;NA;t;NA;NA;20.50;NA;NA;NA;NA;NA;5.5;5;;
173;Lamiales;Bignoniaceae;Handroanthus;chrysotrichus;(Mart. ex DC.) Mattos;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;3;tr;y;NA;NA;NA;NA;65.49;15.17;NA;NA;NA;NA;10.8;1;;
174;Lamiales;Bignoniaceae;Handroanthus;heptaphyllus;(Vell.) Mattos;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;5;3;tr;r;NA;b;NA;NA;50.72;6.53;NA;NA;NA;NA;10.8;2;;
175;Lamiales;Bignoniaceae;Handroanthus;serratifolius;(Vahl) S.Grose;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;11;2;tr;y;NA;t;NA;NA;59.70;6.40;0.70;0.27;28.00;1.81;NA;1;;
176;Lamiales;Bignoniaceae;Handroanthus;umbellatus;(Sond.) Mattos;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;10;1;tr;y;NA;b;NA;NA;45.23;NA;NA;NA;NA;NA;2.0;1;;
177;Lamiales;Bignoniaceae;Jacaranda;puberula;Cham.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;lc;7;6;tr;w;r;t;NA;d;42.60;3.82;0.90;0.53;26.67;4.15;NA;2;;
178;Lamiales;Bignoniaceae;Kigelia;africana;(Lam.) Benth.;The Plant List;exo;N;ne;8;9;tr;r;y;NA;p;n;NA;NA;NA;NA;NA;NA;NA;1;;
179;Lamiales;Bignoniaceae;Lundia;corymbifera;(Vahl) Sandwith;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;5;3;l;r;NA;t;a;d;49.90;4.50;11.53;02.02;10.40;0.40;21.2;3;;
180;Lamiales;Bignoniaceae;Pyrostegia;venusta;(Ker Gawl.) Miers;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;5;5;l;r;NA;t;a;d;44.56;3.13;1.83;1.73;24.58;1.86;135.3;9;;
181;Lamiales;Bignoniaceae;Spathodea;campanulata;P. Beauv.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;exo;N;ne;4;3;tr;r;NA;NA;NA;NA;76.59;7.44;NA;NA;NA;NA;NA;1;;
182;Lamiales;Bignoniaceae;Tabebuia;cassinoides;(Lam.) DC.;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;en;9;1;tr;w;NA;b;NA;d;46.90;4.50;NA;NA;NA;NA;NA;1;;
183;Lamiales;Bignoniaceae;Tecoma;stans;(L.) Juss. ex Kunth;Lohmann, com. pess.;exo;N;ne;8;1;b;r;NA;b;NA;NA;40.09;1.92;NA;NA;NA;NA;10.8;1;;
184;Lamiales;Gentianaceae;Macrocarpaea;rubra;Malme;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;9;4;b;y;NA;t;a;b;23.64;2.00;1.37;NA;10.89;NA;44.0;2;;
185;Lamiales;Gesneriaceae;Besleria;longimucronata;Hoehne;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;6;b;w;y;t;a;b;18.25;2.50;0.83;0.95;16.23;04.05;136.0;7;;
186;Lamiales;Gesneriaceae;Besleria;melancholica;(Vell.) C.V.Morton;REFLORA - Plantas do Brasil: Resgate Histórico e Herbário Virtual para o Conhecimento e Conservação da Flora Brasileira;nat;Y;ne;6;4;b;w;y;t;a;NA;25.00;NA;3.35;2.74;14.72;8.68;112.0;1;;
