id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
1259;-8.02;-35.18;Tillandsia;Tillandsia;gardneri;Lindl.;gardneri;Lindl.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;bil;NA;NA
1260;-8.02;-35.18;Tillandsia;Tillandsia;stricta;Soland. ex Sims.;stricta;Sol. ex Ker Gawl.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;bil;NA;NA
1261;-8.02;-35.18;Wilbrandia;Wilbrandia;glaziovii;Cogn.;glaziovii;Cogn.;Trochilinae;Amazilia;Amazilia;fimbriata;Gmelin;fimbriata;(Gmelin, 1788);hummingbird;bil;NA;NA
1262;-8.01;-34.95;Souroubea;Souroubea;guianensis;Aubl.;guianensis;Aubl.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;thr;l;1
1262;-8.01;-34.95;Souroubea;Souroubea;guianensis;Aubl.;guianensis;Aubl.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;win;l;1
1263;-7.93;-34.87;Bromelia;Bromelia;karatas;L.f.;karatas;L.;na;NA;NA;NA;NA;NA;NA;hummingbird;NA;p;NA
1264;-7.93;-34.87;Canistrum;Canistrum;aurantiacum;E. Morren;aurantiacum;E. Morren;na;NA;NA;NA;NA;NA;NA;hummingbird;NA;p;NA
1265;-7.93;-34.87;Centropogon;Centropogon;cornutus;(L.) Druce;cornutus;(L.) Druce;na;NA;NA;NA;NA;NA;NA;hummingbird;NA;p;NA
1266;-7.93;-34.87;Irlbachia;Chelonanthus;alata;(Aubl.) Maas;alatus;(Aubl.) Pulle;Glossophaginae;Glossophaga;Glossophaga;soricina;Pallas;soricina;(Pallas, 1766);bat;thr;p;NA
1267;-7.93;-34.87;Costus;Costus;spiralis;(Jacq.) Roscoe;spiralis;(Jacq.) Roscoe;na;NA;NA;NA;NA;NA;NA;hummingbird;NA;p;NA
1268;-7.93;-34.87;Heliconia;Heliconia;psittacorum;L.f.;psittacorum;L.f.;na;NA;NA;NA;NA;NA;NA;hummingbird;NA;p;NA
1269;-7.93;-34.87;Inga;Inga;sp. 2;na;sp. 2;Mill.;Glossophaginae;Glossophaga;Glossophaga;soricina;Pallas;soricina;(Pallas, 1766);bat;NA;NA;NA
1270;-7.93;-34.87;Lundia;Lundia;corymbifera;(Vahl) Sandwith;corymbifera;(Vahl) Sandwith;na;NA;NA;NA;NA;NA;NA;hummingbird;NA;p;NA
1271;-7.93;-34.87;Souroubea;Souroubea;guianensis;Aubl.;guianensis;Aubl.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;bac;p;NA
1271;-7.93;-34.87;Souroubea;Souroubea;guianensis;Aubl.;guianensis;Aubl.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;bel;p;NA
1271;-7.93;-34.87;Souroubea;Souroubea;guianensis;Aubl.;guianensis;Aubl.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;hea;p;NA
1271;-7.93;-34.87;Souroubea;Souroubea;guianensis;Aubl.;guianensis;Aubl.;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;win;p;NA
1272;-7.93;-34.87;Symphonia;Symphonia;globulifera;L.f.;globulifera;L.f.;na;NA;NA;NA;NA;NA;NA;hummingbird;NA;p;NA
1273;-8.01;-34.95;Irlbachia;Chelonanthus;alata;(Aubl.) Maas;alatus;(Aubl.) Pulle;Glossophaginae;Glossophaga;Glossophaga;soricina;Pallas;soricina;(Pallas, 1766);bat;chi;p;NA
1274;-8.01;-34.95;Irlbachia;Chelonanthus;alata;(Aubl.) Maas;alatus;(Aubl.) Pulle;Phaethornithinae;Phaethornis;Phaethornis;ruber;Linnaeus;ruber;(Linnaeus, 1758);hummingbird;NA;l;NA
1275;-22.88;-47.07;Ipomoea;Ipomoea;hederifolia;L.;hederifolia;L.;Trochilinae;Amazilia;Amazilia;lactea;Lesson;lactea;(Lesson, 1832);hummingbird;fro;p;NA
1275;-22.88;-47.07;Ipomoea;Ipomoea;hederifolia;L.;hederifolia;L.;Trochilinae;Amazilia;Amazilia;lactea;Lesson;lactea;(Lesson, 1832);hummingbird;thr;p;NA
1276;-22.88;-47.07;Ipomoea;Ipomoea;hederifolia;L.;hederifolia;L.;Trochilinae;Calliphlox;Calliphlox;amethystina;Boddaert;amethystina;(Boddaer, 1783);hummingbird;fro;p;NA
1276;-22.88;-47.07;Ipomoea;Ipomoea;hederifolia;L.;hederifolia;L.;Trochilinae;Calliphlox;Calliphlox;amethystina;Boddaert;amethystina;(Boddaer, 1783);hummingbird;thr;p;NA
1277;-22.88;-47.07;Ipomoea;Ipomoea;hederifolia;L.;hederifolia;L.;Trochilinae;Eupetomena;Eupetomena;macroura;Gmelin;macroura;(Gmelin, 1788);hummingbird;fro;p;NA
1277;-22.88;-47.07;Ipomoea;Ipomoea;hederifolia;L.;hederifolia;L.;Trochilinae;Eupetomena;Eupetomena;macroura;Gmelin;macroura;(Gmelin, 1788);hummingbird;thr;p;NA
1278;-22.88;-47.07;Ipomoea;Ipomoea;hederifolia;L.;hederifolia;L.;Phaethornithinae;Phaethornis;Phaethornis;pretrei;(Lesson & Delattre 1839);pretrei;(Lesson & DeLattre, 1839);hummingbird;fro;p;NA
1278;-22.88;-47.07;Ipomoea;Ipomoea;hederifolia;L.;hederifolia;L.;Phaethornithinae;Phaethornis;Phaethornis;pretrei;(Lesson & Delattre 1839);pretrei;(Lesson & DeLattre, 1839);hummingbird;thr;p;NA
1279;-22.88;-47.07;Ipomoea;Ipomoea;quamoclit;L.;quamoclit;L.;Trochilinae;Chlorostilbon;Chlorostilbon;aureoventris;(D'Orbigny & Lafresnaye, 1839;lucidus;(Shaw, 1812);hummingbird;bil;p;NA
1279;-22.88;-47.07;Ipomoea;Ipomoea;quamoclit;L.;quamoclit;L.;Trochilinae;Chlorostilbon;Chlorostilbon;aureoventris;(D'Orbigny & Lafresnaye, 1839;lucidus;(Shaw, 1812);hummingbird;fro;p;NA
1280;-25.31;-48.7;Aechmea;Aechmea;nudicaulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Trochilinae;Amazilia;Amazilia;versicolor;Vieillot;versicolor;(Vieillot, 1818);hummingbird;NA;p;0.21
1281;-25.31;-48.7;Aechmea;Aechmea;nudicaulis;(L.) Griseb.;nudicaulis;(L.) Griseb.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.79
1282;-25.31;-48.7;Aechmea;Aechmea;ornata;(Gaudich.) Baker;ornata;(Gaudich.) Baker;Trochilinae;Amazilia;Amazilia;versicolor;Vieillot;versicolor;(Vieillot, 1818);hummingbird;NA;p;0.5
1283;-25.31;-48.7;Aechmea;Aechmea;ornata;(Gaudich.) Baker;ornata;(Gaudich.) Baker;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.5
1284;-25.31;-48.7;Costus;Costus;spiralis;(Jacq.) Roscoe;spiralis;(Jacq.) Roscoe;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;1
1285;-25.31;-48.7;Dahlstedtia;Dahlstedtia;pentaphylla;(Benth.) Malme;pentaphylla;(Taub.) Bukart;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;1
1286;-25.31;-48.7;Heliconia;Heliconia;farinosa;Raddi.;farinosa;Raddi;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;1
1287;-25.31;-48.7;Musa;Musa;ornata;Roxb.;ornata;Roxb.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.82
1288;-25.31;-48.7;Musa;Musa;ornata;Roxb.;ornata;Roxb.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.18
1289;-25.31;-48.7;Nidularium;Nidularium;innocentii;Lem.;innocentii;Lem.;Trochilinae;Amazilia;Amazilia;versicolor;Vieillot;versicolor;(Vieillot, 1818);hummingbird;NA;p;0.04
1290;-25.31;-48.7;Nidularium;Nidularium;innocentii;Lem.;innocentii;Lem.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.33
1291;-25.31;-48.7;Nidularium;Nidularium;innocentii;Lem.;innocentii;Lem.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.63
1292;-25.31;-48.7;Nidularium;Nidularium;procerum;Lindm.;procerum;Lindm.;Trochilinae;Aphantochroa;Aphantochroa;cirrhochloris;Vieillot;cirrochloris;(Vieillot, 1818);hummingbird;NA;p;0.83
1293;-25.31;-48.7;Nidularium;Nidularium;procerum;Lindm.;procerum;Lindm.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.17
1294;-25.31;-48.7;Psychotria;Psychotria;nuda;(Cham. & Schltdl.) Wawra;nuda;(Cham. & Schltdl.) Wawra;Trochilinae;Amazilia;Amazilia;versicolor;Vieillot;versicolor;(Vieillot, 1818);hummingbird;NA;p;0.04
1295;-25.31;-48.7;Psychotria;Psychotria;nuda;(Cham. & Schltdl.) Wawra;nuda;(Cham. & Schltdl.) Wawra;Trochilinae;Aphantochroa;Aphantochroa;cirrhochloris;Vieillot;cirrochloris;(Vieillot, 1818);hummingbird;NA;p;0.05
1296;-25.31;-48.7;Psychotria;Psychotria;nuda;(Cham. & Schltdl.) Wawra;nuda;(Cham. & Schltdl.) Wawra;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.34
1297;-25.31;-48.7;Psychotria;Psychotria;nuda;(Cham. & Schltdl.) Wawra;nuda;(Cham. & Schltdl.) Wawra;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.57
1298;-25.31;-48.7;Psychotria;Psychotria;suterella;Müll.Arg.;suterella;Müll.Arg.;Trochilinae;Amazilia;Amazilia;versicolor;Vieillot;versicolor;(Vieillot, 1818);hummingbird;NA;p;0.08
1299;-25.31;-48.7;Psychotria;Psychotria;suterella;Müll.Arg.;suterella;Müll.Arg.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.92
1300;-25.31;-48.7;Spirotheca;Spirotheca;rivieri;(Decne.) Ulbr.;rivieri;(Decne.) Ulbr.;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;1
1301;-25.31;-48.7;Vriesea;Vriesea;carinata;Wawra;carinata;Wawra;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;1
1302;-25.31;-48.7;Vriesea;Vriesea;incurvata;Gaudich.;incurvata;Gaudich.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.82
