id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
1342;-25.31;-48.7;Schizolobium;Schizolobium;parahyba;(Vell.) S.F.Blake;parahyba;(Vell.) S.F.Blake;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;1
1343;-25.31;-48.7;Schwartzia;Schwartzia;brasiliensis;(Choisy) Bedell ex Gir.-Cañas;brasiliensis;(Choisy) Bedell ex Gir.-Cañas;Trochilinae;Aphantochroa;Aphantochroa;cirrhochloris;Vieillot;cirrochloris;(Vieillot, 1818);hummingbird;NA;p;0.17
1344;-25.31;-48.7;Schwartzia;Schwartzia;brasiliensis;(Choisy) Bedell ex Gir.-Cañas;brasiliensis;(Choisy) Bedell ex Gir.-Cañas;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;0.5
1345;-25.31;-48.7;Schwartzia;Schwartzia;brasiliensis;(Choisy) Bedell ex Gir.-Cañas;brasiliensis;(Choisy) Bedell ex Gir.-Cañas;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;NA;p;0.33
1346;-25.31;-48.7;Stachytarpheta;Stachytarpheta;maximiliani;Schauer;maximiliani;Schauer;Phaethornithinae;Phaethornis;Phaethornis;squalidus;Temminck;squalidus;(Temminck, 1822);hummingbird;NA;p;1
1347;-25.31;-48.7;Vriesea;Vriesea;carinata;Wawra;carinata;Wawra;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;1
1348;-25.31;-48.7;Vriesea;Vriesea;ensiformis;(Vell.) Beer;ensiformis;(Vell.) Beer;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;1
1349;-25.31;-48.7;Vriesea;Vriesea;incurvata;Gaudich.;incurvata;Gaudich.;Phaethornithinae;Ramphodon;Ramphodon;naevius;Dumont;naevius;(Dumont, 1818);hummingbird;NA;p;1
1350;-22.92;-42.75;Billbergia;Billbergia;horrida;Regel;horrida;Regel;Phaethornithinae;Phaethornis;Phaethornis;pretrei;Lesson & DeLattre;pretrei;(Lesson & DeLattre, 1839);hummingbird;bil;p;NA
1351;-22.92;-42.75;Billbergia;Billbergia;horrida;Regel;horrida;Regel;Trochilinae;Thalurania;Thalurania;glaucopis;Gmelin;glaucopis;(Gmelin, 1788);hummingbird;bil;p;NA
